"","","","","","","","","","","","","","","","","","","","",""
"","Identificador","Nome","Cargo","Empresa","Telefone","e-mail","","Empresa","Endereço - Rua","Endereço - Número","Endereço - Estado","Endereço - Cidade","Endereço - CEP","Razão Social","CNPJ","Distribuidora","Modalidade Tarifária","Consumo Ponta","Consumo Fora Ponta","Gestor Responsável (LUX)"
"","Cliente","Carrie Clark","Especialista","Empresa29","5450-37899","lsmith@murphy.net","","Empresa10","Michael Wells","356","Virginia","Adrianview","87805","Coffey, Flores and Holmes","502.194/0001-97","ENEL SP","VERDE","5.168,00","20.672,00","Jeremy Lam"
"","Cliente","William Campbell","Técnico","Empresa21","5879-97705","astark@jones.com","","Empresa11","Michael Shore","751","Kentucky","West Richardchester","92562","Patterson Ltd","775.888/0001-16","CPFL PAULISTA","VERDE","10.519,00","84.152,00","Jeremy Lam"
"","Cliente","Casey Shaw","Especialista","Empresa26","6046-83740","barnettdavid@fry.org","","Empresa12","Hebert Wall","719","Hawaii","New Amandaton","96935","Gonzales LLC","312.520/0001-19","CPFL PAULISTA","AZUL","14.482,00","43.446,00","Jeremy Lam"
"","Cliente","Bonnie Fleming","Analista","Empresa19","7555-63303","rogerrogers@hotmail.com","","Empresa14","Hill Ville","349","South Carolina","Lake Danielshire","25843","Dorsey PLC","612.374/0001-17","ENEL SP","AZUL","6.204,00","37.224,00","Jeremy Lam"
"","Cliente","William Valenzuela","Supervisor","Empresa28","9399-93154","cassandra00@gmail.com","","Empresa15","Cynthia Avenue","401","Pennsylvania","Jenniferfurt","7486","Tucker Group","419.233/0001-91","ENEL SP","AZUL","16.916,00","50.748,00","Jeremy Lam"
"","Cliente","Gail Jordan","Técnico","Empresa28","7433-58192","michael19@hotmail.com","","Empresa16","Christopher Stream","112","New York","Colefort","41361","Bowen-Taylor","278.733/0001-69","ENEL SP","VERDE","7.923,00","23.769,00","Jeremy Lam"
"","Cliente","Elizabeth Cummings","Especialista","Empresa32","7894-21186","dhenderson@morales.com","","Empresa17","Schultz Turnpike","565","Utah","West Gregoryhaven","29082","Peterson LLC","694.868/0001-98","ENEL SP","AZUL","18.497,00","73.988,00","Jeremy Lam"
"","Cliente","Miranda Lane","Técnico","Empresa32","2964-65654","weaverchristine@yahoo.com","","Empresa19","Ward Rapid","409","California","South Pamela","9369","Hudson-Brown","487.658/0001-44","CPFL PAULISTA","VERDE","3.161,00","25.288,00","Jeremy Lam"
"","Cliente","Brent Zimmerman","Especialista","Empresa15","2272-14008","phillipflores@maynard-logan.com","","Empresa20","Green Union","356","Wyoming","Christopherview","4866","Smith Inc","671.249/0001-84","CPFL PAULISTA","AZUL","17.292,00","121.044,00","Daniel Wood"
"","Cliente","Evelyn Welch","Analista","Empresa16","2343-13720","michelle40@hotmail.com","","Empresa21","Laura Knoll","116","Wyoming","Wilsonshire","81740","Spencer, Martinez and Davis","321.326/0001-82","CPFL PIRATININGA","VERDE","10.017,00","80.136,00","Amanda Thompson"
"","Colaborador Lux","Jeremy Lam","Gestor de Clientes","Lux Energia","5151-2525","Jeremy@luxenergia.com.br","","Empresa23","Thompson Walks","605","Louisiana","North Keithton","79458","Hunt and Sons","647.445/0001-32","COELBA","AZUL","2.357,00","9.428,00","Amanda Thompson"
"","Cliente","Beth Schneider","Gerente","Empresa17","1929-18748","christopherlarson@leonard.net","","Empresa24","Beth Courts","887","Montana","North April","20453","Hale, Brandt and Durham","200.911/0001-89","COELBA","AZUL","20.311,00","142.177,00","Amanda Thompson"
"","Cliente","Dr. Chelsea Suarez","Especialista","Empresa12","5008-97381","michael79@kelly.com","","Empresa25","Walters Underpass","234","Florida","Jenniferside","11105","Alvarez-Black","566.237/0001-55","ENEL SP","VERDE","22.744,00","90.976,00","Amanda Thompson"
"","Cliente","Sarah Hughes","Gerente","Empresa14","2863-69690","kaitlinjackson@gmail.com","","Empresa26","Kimberly Mission","436","Missouri","West Kathrynburgh","5623","Mcgrath-Zhang","972.177/0001-82","ENEL SP","VERDE","11.385,00","79.695,00","Amanda Thompson"
"","Cliente","Mitchell Daugherty","Coordenador","Empresa24","3823-92661","eadams@mercer-lee.com","","Empresa27","Elizabeth Roads","145","Alaska","Thompsonchester","28411","Jenkins LLC","348.976/0001-87","CELESC","AZUL","3.124,00","24.992,00","Amanda Thompson"
"","Colaborador Lux","Amanda Thompson","Gestora de Clientes","Lux Energia","5151-2525","Amanda@luxenergia.com.br","","Empresa28","Courtney Mount","76","North Dakota","East Craigmouth","23378","Rivera-Zhang","194.136/0001-91","CELESC","AZUL","19.931,00","139.517,00","Amanda Thompson"
"","Colaborador Lux","Daniel Wood","Gestor de Clientes","Lux Energia","5151-2525","Daniel@luxenergia.com.br","","Empresa29","Timothy Lodge","469","Utah","Lisafort","21178","Carroll, Parker and Harding","898.984/0001-92","CELESC","AZUL","11.672,00","81.704,00","Jeremy Lam"
"","Cliente","Rebecca Campbell","Coordenador","Empresa27","2881-73029","iwhite@espinoza-garcia.biz","","Empresa30","Anderson Inlet","971","Maryland","Suttonburgh","11717","Marquez PLC","488.640/0001-88","CEMIG","VERDE","6.580,00","26.320,00","Daniel Wood"
